2783 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2859 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

2959 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3014 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

3144 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3204 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

3328 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3378 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

3503 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3585 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

3683 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3767 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

3866 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3944 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

4049 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4121 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

4220 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4305 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

4414 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4492 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

4593 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4668 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

4769 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4849 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

4949 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5032 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 33.00 cm

5128 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5213 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

5311 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5395 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

5494 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5585 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

5677 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5759 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

5857 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5940 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6041 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6121 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6222 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6308 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6410 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6490 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6585 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6666 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6764 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6845 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

6974 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7020 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

7141 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7194 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

7321 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7373 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

7496 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7573 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

7676 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7760 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 33.00 cm

7862 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7946 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 32.00 cm

