6202 : LDir:  | LCount: 0 | RDir:  | RCount: 0
13109 : Control F
13164 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 37.00 cm

13165 : Control F
13165 : Control F
13199 : Control F
13232 : Control F
13289 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

13336 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 40.00 cm

13337 : Control F
13337 : Control F
13337 : Control F
13354 : Control F
13388 : Control F
13470 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -5

13522 : S1: 0.00 cm | S2: 32.00 cm | S3: 0.00 cm | S4: 40.00 cm

13522 : Control F
13522 : Control F
13522 : Control F
13522 : Control F
13540 : Control F
13573 : Control F
13651 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

13702 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 42.00 cm

13702 : Control F
13702 : Control F
13702 : Control F
13703 : Control F
13720 : Control F
13754 : Control F
13832 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -4

13877 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 56.00 cm

13877 : Control F
13877 : Control F
13877 : Control F
13877 : Control F
13912 : Control F
14000 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -6

14046 : S1: 0.00 cm | S2: 36.00 cm | S3: 0.00 cm | S4: 57.00 cm

14170 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -6

14249 : S1: 0.00 cm | S2: 42.00 cm | S3: 0.00 cm | S4: 60.00 cm

14351 : LDir: CW | LCount: 3 | RDir: CCW | RCount: -2

14432 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 60.00 cm

14531 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14614 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 61.00 cm

14711 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14788 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 61.00 cm

14884 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14967 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 60.00 cm

15092 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15149 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 61.00 cm

15149 : Control R
15250 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15329 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 60.00 cm

15454 : LDir: CW | LCount: 4 | RDir: CW | RCount: 5

15498 : S1: 0.00 cm | S2: 39.00 cm | S3: 0.00 cm | S4: 60.00 cm

15621 : LDir: CW | LCount: 1 | RDir:  | RCount: 0

15699 : S1: 0.00 cm | S2: 42.00 cm | S3: 0.00 cm | S4: 59.00 cm

15799 : LDir:  | LCount: 0 | RDir:  | RCount: 0

