1738 : Count: 0 | RDir:  | RCount: 0

8825 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8953 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9004 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

9126 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9210 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

9308 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9366 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

9498 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9570 : S1: 0.00 cm | S2: 49.00 cm | S3: 0.00 cm | S4: 0.00 cm

9674 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9752 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

9860 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9912 : S1: 0.00 cm | S2: 59.00 cm | S3: 0.00 cm | S4: 0.00 cm

10035 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10109 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10213 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10298 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

10398 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10481 : S1: 0.00 cm | S2: 59.00 cm | S3: 0.00 cm | S4: 0.00 cm

10577 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10654 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

10751 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10829 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10957 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11006 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

11128 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11180 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

11303 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11385 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

11482 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11566 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

11672 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11721 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

11844 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11910 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

12036 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12085 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

12223 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12268 : S1: 0.00 cm | S2: 60.00 cm | S3: 0.00 cm | S4: 0.00 cm

12406 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12456 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12579 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12631 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

12752 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12835 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

12938 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13016 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

