2354 : 4: 0.00 cm

2420 : LDir:  | LCount: 0 | RDir:  | RCount: 0
9364 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9513 : LDir: CCW | LCount: -3 | RDir: CCW | RCount: -9

9563 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9680 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -6

9730 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9867 : LDir: CCW | LCount: -7 | RDir: CW | RCount: -1

9922 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10029 : LDir: CCW | LCount: -2 | RDir: CCW | RCount: -1

10108 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10215 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10275 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10403 : LDir: CW | LCount: 6 | RDir: CW | RCount: 5

10449 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10596 : LDir: CW | LCount: 1 | RDir: CW | RCount: 1

10649 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10759 : LDir: CW | LCount: 2 | RDir: CW | RCount: 5

10835 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10947 : LDir: CW | LCount: 7 | RDir: CW | RCount: 7

10994 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

11118 : LDir: CW | LCount: 7 | RDir: CW | RCount: 7

11197 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

11301 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

11377 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

11496 : LDir: CW | LCount: 7 | RDir: CW | RCount: 7

11541 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

11685 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

11736 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

11861 : LDir: CW | LCount: 7 | RDir: CCW | RCount: 0

11904 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12029 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -3

12084 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12214 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12267 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12393 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -6

12483 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12628 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -6

12687 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

12778 : LDir: CW | LCount: 8 | RDir: CCW | RCount: -9

12837 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

12962 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -6

13011 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

13123 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -8

13176 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

13305 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -8

13380 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

13482 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -8

13560 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

13689 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

13737 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

13861 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -9

13918 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

14027 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -8

14108 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

14207 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -8

14287 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

14390 : LDir: CCW | LCount: -3 | RDir: CW | RCount: 1

14466 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

14567 : LDir: CCW | LCount: -1 | RDir: CW | RCount: 2

14647 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

14760 : LDir:  | LCount: 0 | RDir:  | RCount: 0

