2523 : 0.00 cm | S4: 0.00 cm

2626 : LDir:  | LCount: 0 | RDir:  | RCount: 0
9690 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9740 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9861 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9922 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10045 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10128 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10229 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10307 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10404 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10489 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10589 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10670 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10768 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10851 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

10950 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11026 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

11125 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11207 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

11307 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11390 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

11493 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11555 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

11679 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11733 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

11863 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11939 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

12042 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12120 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

12218 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12295 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

12426 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12476 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

12572 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12652 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

12778 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12830 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

12935 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13015 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

13140 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13189 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

13322 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13371 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

13495 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13574 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

13682 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13742 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

13840 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13922 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

14047 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14095 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

14222 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14270 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

14402 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14452 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

