2759 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2792 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

2891 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2983 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

3080 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3161 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

3266 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3348 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

3444 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3529 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

3625 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3701 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

3800 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3883 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4007 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4054 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4184 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4232 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4355 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4432 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4534 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4619 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4715 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4794 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

4919 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4967 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

5097 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5152 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

5278 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5326 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

5451 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5512 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

5636 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5684 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

5806 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5890 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

5989 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6071 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6174 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6254 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6352 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6435 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6531 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6614 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6718 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6798 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6898 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6981 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

7077 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7161 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

7259 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7336 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7436 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7518 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

7641 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7686 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7807 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7884 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7989 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8071 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

8168 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8245 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

8344 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8427 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

8525 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8607 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

8733 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8780 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

8903 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8962 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

9079 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9138 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9269 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9339 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9441 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9519 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9623 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9699 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9806 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9867 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

9994 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10044 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10167 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10251 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10348 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10431 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

10535 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10614 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10712 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10787 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10893 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10976 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

11074 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11159 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

11260 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11337 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

11440 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11523 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

11621 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11698 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

11796 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11890 : S1: 0.00 cm | S2: 34.00 cm | S3: 0.00 cm | S4: 35.00 cm

11994 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12043 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

